DSSA_Timestamp,GovTech_Vendor,Municipal_Code,WCAG_Success_Criterion,Severity_Impact,Defect_Node_Count,Litigation_Risk_Weight
2026-07-02 11:02:43.416739,Cite_E_net,Plainfield_NJ,image-alt,critical,7,70
2026-07-02 11:02:43.416798,Cite_E_net,Plainfield_NJ,label,critical,2,20
2026-07-02 11:02:43.416801,Cite_E_net,Plainfield_NJ,link-in-text-block,serious,1,5
2026-07-02 11:02:43.416803,Cite_E_net,Plainfield_NJ,link-name,serious,5,25
2026-07-02 11:02:44.516864,HLS_Systems_PropertyTaxInquiry,JerseyCity_NJ,button-name,critical,1,10
2026-07-02 11:02:44.516887,HLS_Systems_PropertyTaxInquiry,JerseyCity_NJ,html-has-lang,serious,1,5
2026-07-02 11:02:44.516889,HLS_Systems_PropertyTaxInquiry,JerseyCity_NJ,image-alt,critical,1,10
2026-07-02 11:02:44.516891,HLS_Systems_PropertyTaxInquiry,JerseyCity_NJ,label,critical,1,10
2026-07-02 11:02:46.796738,Edmunds_WIPP,Multi_Tenant_Generic,html-has-lang,serious,1,5
2026-07-02 11:02:46.796772,Edmunds_WIPP,Multi_Tenant_Generic,image-alt,critical,1,10
2026-07-02 11:02:46.796774,Edmunds_WIPP,Multi_Tenant_Generic,label,critical,10,100
2026-07-02 11:02:49.194121,Tyler_Tech_EnerGov,JerseyCity_NJ,aria-prohibited-attr,serious,1,5
2026-07-02 11:02:49.194140,Tyler_Tech_EnerGov,JerseyCity_NJ,aria-roles,critical,1,10
2026-07-02 11:02:49.194142,Tyler_Tech_EnerGov,JerseyCity_NJ,link-name,serious,1,5
2026-07-02 11:02:49.194144,Tyler_Tech_EnerGov,JerseyCity_NJ,list,serious,1,5
