DSSA_Timestamp,GovTech_Vendor,Municipal_Code,WCAG_Success_Criterion,Severity_Impact,Defect_Node_Count,Litigation_Risk_Weight
2026-07-05 12:44:44.396546,Cite_E_net,Plainfield_NJ,image-alt,critical,7,70
2026-07-05 12:44:44.396595,Cite_E_net,Plainfield_NJ,label,critical,2,20
2026-07-05 12:44:44.396598,Cite_E_net,Plainfield_NJ,link-in-text-block,serious,1,5
2026-07-05 12:44:44.396601,Cite_E_net,Plainfield_NJ,link-name,serious,5,25
2026-07-05 12:44:45.496331,HLS_Systems_PropertyTaxInquiry,JerseyCity_NJ,button-name,critical,1,10
2026-07-05 12:44:45.496352,HLS_Systems_PropertyTaxInquiry,JerseyCity_NJ,html-has-lang,serious,1,5
2026-07-05 12:44:45.496355,HLS_Systems_PropertyTaxInquiry,JerseyCity_NJ,image-alt,critical,1,10
2026-07-05 12:44:45.496356,HLS_Systems_PropertyTaxInquiry,JerseyCity_NJ,label,critical,1,10
2026-07-05 12:44:47.679994,Edmunds_WIPP,Multi_Tenant_Generic,html-has-lang,serious,1,5
2026-07-05 12:44:47.680027,Edmunds_WIPP,Multi_Tenant_Generic,image-alt,critical,1,10
2026-07-05 12:44:47.680030,Edmunds_WIPP,Multi_Tenant_Generic,label,critical,10,100
2026-07-05 12:44:49.279170,Tyler_Tech_EnerGov,JerseyCity_NJ,aria-prohibited-attr,serious,1,5
2026-07-05 12:44:49.279191,Tyler_Tech_EnerGov,JerseyCity_NJ,link-name,serious,1,5
2026-07-05 12:44:49.279193,Tyler_Tech_EnerGov,JerseyCity_NJ,list,serious,1,5
